sggCd,동명,거래수
11110,낙원동,21
11110,종로5가,20
11110,관철동,17
11560,영등포동4가,11
11140,초동,9
11140,충무로2가,9
11140,태평로2가,9
11110,내자동,9
11110,연지동,9
11710,장지동,8
11140,인현동2가,8
11140,남대문로5가,8
11410,대현동,8
11140,저동2가,7
11110,통의동,7
11110,익선동,6
11140,방산동,5
11140,북창동,5
11140,광희동1가,5
11140,오장동,5
11140,충무로5가,5
11500,마곡동,5
11560,영등포동8가,5
11110,관수동,5
11140,을지로3가,4
11140,을지로5가,4
11290,동소문동3가,4
11560,양평동5가,4
11560,문래동2가,4
11110,신문로1가,4
11110,소격동,4
11140,산림동,3
11140,다동,3
11140,수표동,3
11140,예관동,3
11140,서소문동,3
11140,흥인동,3
11140,을지로6가,3
11140,수하동,3
11140,남대문로4가,3
11140,정동,3
11290,동선동1가,3
11560,여의도동,3
11560,문래동1가,3
11110,수송동,3
11110,묘동,3
11110,예지동,3
11110,서린동,3
11110,장사동,3
11140,명동1가,2
11140,봉래동1가,2
11140,충무로1가,2
11140,을지로4가,2
11140,을지로2가,2
11140,을지로1가,2
11140,태평로1가,2
11410,영천동,2
11530,온수동,2
11740,강일동,2
11560,영등포동7가,2
11170,용산동5가,2
11110,봉익동,2
11110,교남동,2
11110,운니동,2
11110,종로3가,2
11110,종로2가,2
11590,동작동,1
11710,신천동,1
11140,남대문로3가,1
11140,저동1가,1
11140,회현동3가,1
11140,남대문로2가,1
11140,무학동,1
11140,무교동,1
11140,남대문로1가,1
11140,주자동,1
11140,남산동1가,1
11140,순화동,1
11500,외발산동,1
11410,합동,1
11530,항동,1
11530,천왕동,1
11680,수서동,1
11560,양평동6가,1
11170,이촌동,1
11110,견지동,1
11110,세종로,1
11110,궁정동,1
11110,적선동,1
